"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=818"">Pickpocket</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=17"">Thievery</a></u>","Steal or Palm an Object more effectively.","—"
"<u><a href=""Feats.aspx?ID=2141"">Pilgrim's Token</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","A religious token lets you act ﬁrst on a tie for initiative.","—"
"<u><a href=""Feats.aspx?ID=822"">Quick Coercion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=7"">Intimidation</a></u>","Coerce a creature quickly.","—"
"<u><a href=""Feats.aspx?ID=824"">Quick Identification</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","Identify Magic in 1 minute or less.","—"
"<u><a href=""Feats.aspx?ID=825"">Quick Jump</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","High Jump or Long Jump as a single action.","—"
"<u><a href=""Feats.aspx?ID=827"">Quick Repair</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Repair items quickly.","—"
"<u><a href=""Feats.aspx?ID=828"">Quick Squeeze</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u>","Move swiftly as you Squeeze.","—"
"<u><a href=""Feats.aspx?ID=1213"">Ravening's Desperation</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=29"" title=""Pathfinder #153: Life's Long Shadows"">Pathfinder #153</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Deities.aspx?ID=82"">Zevgavizeb</a></u> <u><a href=""Skills.aspx?ID=8"">Lore</a></u>","Your study of the Beast of Gluttondark has taught you how to make do in the most trying of circumstances rather than succumb to weakness.","Extinction Curse"
"<u><a href=""Feats.aspx?ID=833"">Read Lips</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","Read the lips of people you can see.","—"
"<u><a href=""Feats.aspx?ID=3776"">Read Psychometric Resonance</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=60"">Emotion</a></u>, <u><a href=""Traits.aspx?ID=66"">Exploration</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=106"">Mental</a></u>, <u><a href=""Traits.aspx?ID=120"">Occult</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","With a touch, you can read the psychic impressions left on objects by their previous owners.","—"
"<u><a href=""Feats.aspx?ID=834"">Recognize Spell</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=142"">Secret</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","Identify a spell as a reaction as it's being cast.","—"
"<u><a href=""Feats.aspx?ID=3028"">Reveal True Name</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=60"">Emotion</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=106"">Mental</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>, <u><a href=""Traits.aspx?ID=393"">True Name</a></u>","1","trained in <u><a href=""Skills.aspx?ID=7"">Intimidation</a></u> and at least one of <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occult</a></u>, and <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","You attempt to get a creature to do as you wish by threatening them with your knowledge of their true name.","—"
"<u><a href=""Feats.aspx?ID=2146"">Risky Surgery</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","Deal damage to a patient to gain +2 to Treat Wounds.","—"
"<u><a href=""Feats.aspx?ID=2147"">Root Magic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","Create a token that grants a bonus against a spell or haunt.","—"
"<u><a href=""Feats.aspx?ID=2148"">Schooled in Secrets</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","Gather Information about secret societies and mystery cults.","—"
"<u><a href=""Feats.aspx?ID=2149"">Seasoned</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>, <u><a href=""Skills.aspx?ID=8"">Cooking Lore</a></u>, or <u><a href=""Skills.aspx?ID=8"">Alcohol Lore</a></u>","+1 to Craft food and drink, including potions.","—"
"<u><a href=""Feats.aspx?ID=925"">Secret Speech</a></u>","—","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","Learn the secret language of a society.","<u><a href=""Setting.aspx?Group=2"">Age of Ashes</a></u>"
"<u><a href=""Feats.aspx?ID=840"">Sign Language</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","Learn sign languages.","—"
"<u><a href=""Feats.aspx?ID=841"">Skill Training</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","Intelligence 12","Become trained in a skill.","—"
"<u><a href=""Feats.aspx?ID=843"">Snare Crafting</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Craft snares.","—"
"<u><a href=""Feats.aspx?ID=844"">Specialty Crafting</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Gain bonuses to Craft certain items.","—"
"<u><a href=""Feats.aspx?ID=845"">Steady Balance</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u>","Maintain your balance in adverse conditions.","—"
"<u><a href=""Feats.aspx?ID=3495"">Stitch Flesh</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=118"" title=""Book of the Dead"">Book of the Dead</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","You can use <u><a href=""Actions.aspx?ID=57"">Treat Wounds</a></u> to restore Hit Points to <u><a href=""Traits.aspx?ID=160"">undead</a></u> creatures, not just living ones.","—"
"<u><a href=""Feats.aspx?ID=846"">Streetwise</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","Use Society to Gather Information and Recall Knowledge.","—"
"<u><a href=""Feats.aspx?ID=847"">Student of the Canon</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","More accurately recognize the tenets of your faith or philosophy.","—"
"<u><a href=""Feats.aspx?ID=848"">Subtle Theft</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=17"">Thievery</a></u>","Your thefts are harder to notice.","—"
"<u><a href=""Feats.aspx?ID=849"">Survey Wildlife</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>","Identify nearby creatures through signs and clues.","—"
"<u><a href=""Feats.aspx?ID=3424"">Tame Animal</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=112"" title=""Pathfinder #175: Broken Tusk Moon"">Pathfinder #175</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=66"">Exploration</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","Animals born and raised far from humanoid settlements rarely get along with two-legged beings, whom they assume to be dangerous predators.","<u><a href=""Setting.aspx?Group=14"">Quest for the Frozen Flame</a></u>"
"<u><a href=""Feats.aspx?ID=851"">Terrain Expertise</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>","+1 to Survival checks in certain terrain.","—"
"<u><a href=""Feats.aspx?ID=852"">Terrain Stalker</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","Sneak in certain terrain without attempting a check.","—"
"<u><a href=""Feats.aspx?ID=854"">Titan Wrestler</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Disarm, Grapple, Shove, or Trip larger creatures.","—"
"<u><a href=""Feats.aspx?ID=856"">Train Animal</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=49"">Downtime</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","Teach an animal a trick.","—"
"<u><a href=""Feats.aspx?ID=857"">Trick Magic Item</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","Activate a magic item you normally can't activate.","—"
"<u><a href=""Feats.aspx?ID=858"">Underwater Marauder</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Fight more effectively underwater.","—"
"<u><a href=""Feats.aspx?ID=862"">Virtuosic Performer</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","1","trained in <u><a href=""Skills.aspx?ID=12"">Performance</a></u>","+1 with a certain type of performance.","—"
"<u><a href=""Feats.aspx?ID=2110"">Armored Stealth</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","Reduce the Stealth penalty of your armor.","—"
"<u><a href=""Feats.aspx?ID=2111"">Assured Identification</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","Avoid misidentifying magic.","—"
"<u><a href=""Feats.aspx?ID=3770"">Aura Sight</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=66"">Exploration</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=142"">Secret</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","You've learned how to read the natural auras of other living creatures.","—"
"<u><a href=""Feats.aspx?ID=757"">Automatic Knowledge</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in a skill with the <u><a href=""Actions.aspx?ID=26"">Recall Knowledge</a></u> action; <u><a href=""Feats.aspx?ID=756"">Assurance</a></u> in that skill","Recall Knowledge as a free action once per round.","—"
"<u><a href=""Feats.aspx?ID=3771"">Automatic Writing</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=66"">Exploration</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","When confronted with the unknown, you can receive knowledge beyond your own experience via written messages delivered by your hand.","—"
"<u><a href=""Feats.aspx?ID=1064"">Backup Disguise</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","You have a specific disguise that you keep at the ready, worn underneath your outer garment.","—"
"<u><a href=""Feats.aspx?ID=2112"">Battle Planner</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=8"">Warfare Lore</a></u>","Make a battle plan and roll Warfare Lore for initiative.","—"
